route_id,service_id,trip_id,trip_headsign,block_id,direction_id,shape_id
1,10,198668,Decatur-Drummond,1003,0,278529
1,10,198669,Parx Casino,2151,0,278527
1,10,198670,Parx Casino via Decatur-Drummond,2155,0,278534
1,10,198671,Decatur-Drummond,1426,0,278533
1,10,198672,Parx Casino via Decatur-Drummond,2153,0,278534
1,10,198673,Decatur-Drummond,1002,0,278530
1,10,198674,Byberry Industrial Park,2708,0,278531
1,10,198675,Decatur-Drummond,2154,0,278528
1,10,198676,Decatur-Drummond,1001,0,278529
1,10,198677,Decatur-Drummond,2783,0,278533
1,10,198678,Decatur-Drummond,1455,0,278528
1,10,198679,Decatur-Drummond,2151,0,278528
1,10,198680,Decatur-Drummond,2156,0,278533
1,10,198681,Roosevelt-Pratt,1521,0,278532
1,10,198682,Parx Casino,2157,0,278527
1,10,198683,Parx Casino,2158,0,278527
1,10,198684,Parx Casino,1004,0,278527
1,10,198685,Parx Casino,2159,0,278527
1,10,198686,Parx Casino,1005,0,278527
1,10,198687,Parx Casino via Decatur-Drummond,1003,0,278534
1,10,198688,Parx Casino via Decatur-Drummond,1001,0,278534
1,10,198689,Parx Casino via Decatur-Drummond,2151,0,278534
1,10,198690,Parx Casino,1003,0,278527
1,10,198691,Parx Casino,1004,0,278527
1,10,198692,Byberry Industrial Park,2783,0,278531
1,10,198693,Parx Casino via Decatur-Drummond,2152,0,278534
1,10,198694,Byberry Industrial Park,2155,0,278531
1,10,198695,54th-City via Drummond-Decatur,1484,1,278536
1,10,198696,54th-City,1435,1,278535
1,10,198697,54th-City,2157,1,278539
1,10,198698,54th-City,1004,1,278540
1,10,198699,54th-City,1005,1,278540
1,10,198700,54th-City via Drummond-Decatur,1003,1,278536
1,10,198701,54th-City via Drummond-Decatur,2151,1,278536
1,10,198702,54th-City,2152,1,278540
1,10,198703,54th-City,2155,1,278539
1,10,198704,54th-City,2153,1,278540
1,10,198705,54th-City,2154,1,278539
1,10,198706,54th-City,1001,1,278539
1,10,198707,Wissahickon Transportation Center,2783,1,278542
1,10,198708,54th-City,2151,1,278539
1,10,198709,54th-City,2152,1,278539
1,10,198710,54th-City via Drummond-Decatur,2159,1,278536
1,10,198711,Wissahickon Transportation Center,1229,1,278538
1,10,198712,Wissahickon Transportation Center,2560,1,278538
1,10,198713,Wissahickon Transportation Center,2156,1,278542
1,10,198714,54th-City,1004,1,278540
1,10,198715,54th-City,1516,1,278539
1,10,198716,54th-City,1006,1,278535
1,10,198717,54th-City,1003,1,278539
1,10,198718,54th-City via Drummond-Decatur,2156,1,278536
1,10,198719,Wissahickon Transportation Center,2160,1,278537
1,10,198720,23rd-Venango,1007,1,278541
1,10,198721,23rd-Venango,2158,1,278541
1,10,198722,54th-City,1521,1,278535
12,10,198800,Columbus-Dock,7254,0,278543
12,10,198801,Columbus-Dock,7255,0,278543
12,10,198802,Columbus-Dock,7256,0,278543
12,10,198803,Columbus-Dock,7257,0,278543
12,10,198804,Columbus-Dock,7258,0,278543
12,10,198805,Columbus-Dock,7251,0,278543
12,10,198806,Columbus-Dock,7255,0,278543
12,10,198807,Columbus-Dock,7256,0,278543
12,10,198808,Columbus-Dock,7257,0,278543
12,10,198809,Columbus-Dock,7258,0,278543
12,10,198810,Columbus-Dock,7251,0,278543
12,10,198811,Columbus-Dock,7256,0,278543
12,10,198812,Columbus-Dock,7257,0,278543
12,10,198813,Columbus-Dock,7258,0,278543
12,10,198814,Columbus-Dock,7259,0,278543
12,10,198815,Columbus-Dock,7262,0,278543
12,10,198816,Columbus-Dock,7261,0,278543
12,10,198817,Columbus-Dock,7258,0,278543
12,10,198818,Columbus-Dock,7260,0,278543
12,10,198819,Columbus-Dock,7263,0,278543
12,10,198820,Columbus-Dock,7257,0,278543
12,10,198821,Columbus-Dock,7259,0,278543
12,10,198822,Columbus-Dock,7261,0,278543
12,10,198823,Columbus-Dock,7258,0,278543
12,10,198824,Columbus-Dock,7260,0,278543
12,10,198825,Columbus-Dock,7262,0,278543
12,10,198826,Columbus-Dock,7263,0,278543
12,10,198827,Columbus-Dock,7262,0,278543
12,10,198828,Columbus-Dock,7254,0,278543
12,10,198829,Columbus-Dock,7251,0,278543
12,10,198830,Columbus-Dock,7262,0,278543
12,10,198831,Columbus-Dock,7253,0,278543
12,10,198832,Columbus-Dock,7261,0,278543
12,10,198833,Columbus-Dock,7263,0,278543
12,10,198834,Columbus-Dock,7261,0,278543
12,10,198835,Columbus-Dock,7263,0,278543
12,10,198836,Columbus-Dock,7262,0,278543
12,10,198837,Columbus-Dock,7261,0,278543
12,10,198838,Columbus-Dock,7263,0,278543
12,10,198839,Columbus-Dock,7262,0,278543
12,10,198840,Columbus-Dock,7263,0,278543
